0.005	0.1	35
0.005	0.2	30
0.005	0.3	27
0.005	0.4	27
0.005	0.5	27
0.005	0.6	26
0.005	0.7	25
0.005	0.8	25
0.005	0.9	23
0.005	1	23


0.01	0.1	33
0.01	0.2	29
0.01	0.3	27
0.01	0.4	26
0.01	0.5	22
0.01	0.6	22
0.01	0.7	21
0.01	0.8	20
0.01	0.9	20
0.01	1	20


0.02	0.1	37
0.02	0.2	30
0.02	0.3	28
0.02	0.4	27
0.02	0.5	24
0.02	0.6	24
0.02	0.7	21
0.02	0.8	21
0.02	0.9	20
0.02	1	20


0.03	0.1	35
0.03	0.2	27
0.03	0.3	23
0.03	0.4	21
0.03	0.5	20
0.03	0.6	19
0.03	0.7	16
0.03	0.8	16
0.03	0.9	16
0.03	1	15


0.04	0.1	29
0.04	0.2	22
0.04	0.3	16
0.04	0.4	16
0.04	0.5	15
0.04	0.6	14
0.04	0.7	11
0.04	0.8	11
0.04	0.9	11
0.04	1	11


0.05	0.1	24
0.05	0.2	17
0.05	0.3	14
0.05	0.4	13
0.05	0.5	12
0.05	0.6	12
0.05	0.7	10
0.05	0.8	10
0.05	0.9	10
0.05	1	10


0.06	0.1	23
0.06	0.2	17
0.06	0.3	15
0.06	0.4	14
0.06	0.5	13
0.06	0.6	13
0.06	0.7	10
0.06	0.8	9
0.06	0.9	9
0.06	1	8


0.07	0.1	21
0.07	0.2	16
0.07	0.3	13
0.07	0.4	13
0.07	0.5	12
0.07	0.6	11
0.07	0.7	9
0.07	0.8	8
0.07	0.9	8
0.07	1	8


0.08	0.1	19
0.08	0.2	15
0.08	0.3	12
0.08	0.4	12
0.08	0.5	11
0.08	0.6	11
0.08	0.7	9
0.08	0.8	8
0.08	0.9	8
0.08	1	8


0.09	0.1	18
0.09	0.2	8
0.09	0.3	7
0.09	0.4	7
0.09	0.5	6
0.09	0.6	6
0.09	0.7	4
0.09	0.8	3
0.09	0.9	3
0.09	1	3


0.1	0.1	16
0.1	0.2	8
0.1	0.3	7
0.1	0.4	7
0.1	0.5	6
0.1	0.6	6
0.1	0.7	4
0.1	0.8	3
0.1	0.9	3
0.1	1	3


0.2	0.1	9
0.2	0.2	6
0.2	0.3	6
0.2	0.4	6
0.2	0.5	5
0.2	0.6	3
0.2	0.7	3
0.2	0.8	2
0.2	0.9	2
0.2	1	2
