0.005	0.1	12
0.005	0.2	12
0.005	0.3	11
0.005	0.4	11
0.005	0.5	11
0.005	0.6	11
0.005	0.7	11
0.005	0.8	11
0.005	0.9	11
0.005	1	11


0.01	0.1	14
0.01	0.2	13
0.01	0.3	12
0.01	0.4	11
0.01	0.5	11
0.01	0.6	11
0.01	0.7	11
0.01	0.8	12
0.01	0.9	12
0.01	1	12


0.02	0.1	19
0.02	0.2	18
0.02	0.3	17
0.02	0.4	15
0.02	0.5	15
0.02	0.6	15
0.02	0.7	14
0.02	0.8	15
0.02	0.9	15
0.02	1	14


0.03	0.1	24
0.03	0.2	21
0.03	0.3	20
0.03	0.4	18
0.03	0.5	19
0.03	0.6	18
0.03	0.7	17
0.03	0.8	18
0.03	0.9	16
0.03	1	16


0.04	0.1	22
0.04	0.2	19
0.04	0.3	17
0.04	0.4	16
0.04	0.5	16
0.04	0.6	15
0.04	0.7	14
0.04	0.8	14
0.04	0.9	13
0.04	1	13


0.05	0.1	21
0.05	0.2	16
0.05	0.3	15
0.05	0.4	14
0.05	0.5	14
0.05	0.6	14
0.05	0.7	12
0.05	0.8	11
0.05	0.9	10
0.05	1	8


0.06	0.1	17
0.06	0.2	14
0.06	0.3	12
0.06	0.4	10
0.06	0.5	10
0.06	0.6	9
0.06	0.7	6
0.06	0.8	6
0.06	0.9	6
0.06	1	5


0.07	0.1	16
0.07	0.2	14
0.07	0.3	12
0.07	0.4	9
0.07	0.5	9
0.07	0.6	9
0.07	0.7	6
0.07	0.8	5
0.07	0.9	4
0.07	1	5


0.08	0.1	19
0.08	0.2	17
0.08	0.3	14
0.08	0.4	11
0.08	0.5	11
0.08	0.6	11
0.08	0.7	8
0.08	0.8	6
0.08	0.9	4
0.08	1	3


0.09	0.1	19
0.09	0.2	16
0.09	0.3	13
0.09	0.4	9
0.09	0.5	8
0.09	0.6	8
0.09	0.7	5
0.09	0.8	4
0.09	0.9	3
0.09	1	2


0.1	0.1	18
0.1	0.2	14
0.1	0.3	9
0.1	0.4	6
0.1	0.5	6
0.1	0.6	6
0.1	0.7	4
0.1	0.8	3
0.1	0.9	2
0.1	1	2


0.2	0.1	8
0.2	0.2	1
0.2	0.3	1
0.2	0.4	1
0.2	0.5	1
0.2	0.6	1
0.2	0.7	1
0.2	0.8	1
0.2	0.9	1
0.2	1	1
